transaction_id,member_id,transaction_date_raw,amount,points_earned,points_redeemed,channel,brand,implied_points_per_dollar
TO00000,M03317,2026-02-15 00:00:00,999999.99,119.0,0.0,online,PulseMart,0.000119
TO00001,M26558,2026-02-15 00:00:00,999999.99,131.0,0.0,online,PulseMart,0.000131
TO00002,M31016,2026-02-15 00:00:00,999999.99,108.0,0.0,online,PulseMart,0.000108
TO00003,M18503,2026-02-15 00:00:00,999999.99,83.0,0.0,online,PulseMart,8.3e-05
TO00004,M00225,2026-02-15 00:00:00,999999.99,106.0,0.0,online,PulseMart,0.000106
TO00005,M10269,2026-02-15 00:00:00,999999.99,121.0,0.0,online,PulseMart,0.000121
TO00006,M10937,2026-02-15 00:00:00,99999.0,147.0,0.0,online,PulseMart,0.00147
TO00007,M01304,2026-02-15 00:00:00,99999.0,109.0,0.0,online,PulseMart,0.00109
TO00008,M36530,2026-02-15 00:00:00,99999.0,112.0,0.0,online,PulseMart,0.00112
TO00009,M03967,2026-02-15 00:00:00,99999.0,148.0,0.0,online,PulseMart,0.00148
TO00010,M20079,2026-02-15 00:00:00,99999.0,90.0,0.0,online,PulseMart,0.0009
TO00011,M21692,2026-02-15 00:00:00,99999.0,136.0,0.0,online,PulseMart,0.00136
TO00012,M20751,2026-02-15 00:00:00,88888.5,142.0,0.0,online,PulseHome,0.001598
TO00013,M08857,2026-02-15 00:00:00,75000.0,115.0,0.0,online,PulseHome,0.001533
TO00014,M29016,2026-02-15 00:00:00,64000.0,120.0,0.0,online,PulseEats,0.001875
