feature,dtype,nulls,distinct,min,max,mean,null_pct
member_id,VARCHAR,0,31690,,,,0.0
cutoff_date,DATE,0,1,,,,0.0
churned_90d,INTEGER,0,2,0.0,1.0,0.588,0.0
r_days_since_last_txn,BIGINT,0,365,0.0,364.0,120.129,0.0
r_days_since_first_txn,BIGINT,0,1872,0.0,1912.0,669.538,0.0
r_days_since_last_redemption,BIGINT,17339,1556,0.0,1911.0,378.887,54.71
f_txn_lifetime,BIGINT,0,15,1.0,15.0,4.073,0.0
f_txn_90d,BIGINT,0,9,0.0,8.0,0.697,0.0
f_txn_180d,BIGINT,0,11,0.0,10.0,1.281,0.0
f_txn_365d,BIGINT,0,11,1.0,11.0,2.236,0.0
f_active_months_12m,BIGINT,0,8,1.0,8.0,2.005,0.0
f_avg_days_between_txn,DOUBLE,2114,4704,0.5,1836.0,251.385,6.67
m_spend_lifetime,DOUBLE,0,23873,4.42,2348.94,283.715,0.0
m_spend_90d,DOUBLE,16410,10345,4.45,682.1,94.301,51.78
m_spend_365d,DOUBLE,0,20218,4.42,1791.42,154.567,0.0
m_avg_basket,DOUBLE,0,9628,4.42,415.26,69.074,0.0
m_max_basket,DOUBLE,0,15244,4.42,600.0,112.929,0.0
t_txn_trend_90_vs_prior,DOUBLE,0,32,0.143,9.0,1.302,0.0
t_spend_trend_90_vs_prior,DOUBLE,0,10157,0.001,683.1,28.372,0.0
rd_points_earned,DOUBLE,0,2094,9.0,5402.0,572.971,0.0
rd_points_redeemed,DOUBLE,0,419,0.0,683.0,53.901,0.0
rd_points_balance,DOUBLE,0,2022,-45.0,5402.0,519.07,0.0
rd_redemption_rate,DOUBLE,0,4467,0.0,1.8182,0.108,0.0
rd_has_ever_redeemed,INTEGER,0,2,0.0,1.0,0.453,0.0
c_distinct_channels,BIGINT,0,3,1.0,3.0,2.266,0.0
c_distinct_brands,BIGINT,0,3,1.0,3.0,1.355,0.0
c_pct_app,DOUBLE,0,42,0.0,1.0,0.335,0.0
c_pct_online,DOUBLE,0,40,0.0,1.0,0.332,0.0
c_pct_in_store,DOUBLE,0,43,0.0,1.0,0.333,0.0
tier,VARCHAR,0,4,,,,0.0
tier_rank,INTEGER,0,4,1.0,4.0,1.996,0.0
country,VARCHAR,0,5,,,,0.0
home_brand,VARCHAR,0,3,,,,0.0
p_age,BIGINT,0,42,20.0,61.0,40.451,0.0
p_tenure_days,BIGINT,816,1916,0.0,1916.0,880.187,2.57
dq_join_date_unusable,INTEGER,0,2,0.0,1.0,0.026,0.0
dq_profile_conflicted,INTEGER,0,2,0.0,1.0,0.004,0.0
dq_sign_error_txns,BIGINT,0,3,0.0,2.0,0.043,0.0
dq_points_imputed_txns,BIGINT,0,3,0.0,2.0,0.03,0.0
dq_amount_recovered_txns,BIGINT,0,2,0.0,1.0,0.0,0.0
