feature,corr_with_churn
p_tenure_days,0.3892
r_days_since_first_txn,0.3538
f_txn_90d,-0.2057
f_txn_lifetime,0.2016
f_avg_days_between_txn,0.1946
f_txn_180d,-0.1945
r_days_since_last_redemption,0.1912
m_spend_lifetime,0.1856
rd_points_earned,0.184
rd_points_balance,0.1768
c_distinct_channels,0.1638
r_days_since_last_txn,0.1615
t_txn_trend_90_vs_prior,-0.1456
m_spend_90d,-0.1414
t_spend_trend_90_vs_prior,-0.1292
f_txn_365d,-0.1176
m_max_basket,0.1156
f_active_months_12m,-0.076
m_avg_basket,0.0753
c_distinct_brands,0.055
rd_points_redeemed,0.0527
rd_has_ever_redeemed,0.0441
dq_points_imputed_txns,0.0331
dq_sign_error_txns,0.0301
dq_join_date_unusable,0.0287
m_spend_365d,-0.0273
rd_redemption_rate,-0.0162
dq_profile_conflicted,-0.0096
tier_rank,0.0054
c_pct_in_store,-0.0033
c_pct_app,0.0023
c_pct_online,0.0011
p_age,0.0011
dq_amount_recovered_txns,0.0005
