member_id,cutoff_date,churned_90d,r_days_since_last_txn,r_days_since_first_txn,r_days_since_last_redemption,f_txn_lifetime,f_txn_90d,f_txn_180d,f_txn_365d,f_active_months_12m,f_avg_days_between_txn,m_spend_lifetime,m_spend_90d,m_spend_365d,m_avg_basket,m_max_basket,t_txn_trend_90_vs_prior,t_spend_trend_90_vs_prior,rd_points_earned,rd_points_redeemed,rd_points_balance,rd_redemption_rate,rd_has_ever_redeemed,c_distinct_channels,c_distinct_brands,c_pct_app,c_pct_online,c_pct_in_store,tier,tier_rank,country,home_brand,p_age,p_tenure_days,dq_join_date_unusable,dq_profile_conflicted,dq_sign_error_txns,dq_points_imputed_txns,dq_amount_recovered_txns
M02984,2026-04-01,0,75,444,75,5,1,2,4,4,111.0,433.39,42.8,192.9,86.68,240.49,1.0,0.995,974.0,98.0,876.0,0.1006,1,2,2,0.0,0.6,0.4,Silver,2,IN,PulseMart,39,453,0,0,0,0,0
M03066,2026-04-01,0,283,1013,478,5,0,0,1,1,253.3,444.98,,149.55,89.0,149.55,1.0,1.0,890.0,93.0,797.0,0.1045,1,2,1,0.4,0.0,0.6,Gold,3,US,PulseHome,32,1428,0,0,0,0,0
M03071,2026-04-01,0,152,336,,2,0,1,2,2,336.0,64.23,,64.23,32.12,43.61,0.5,0.046,128.0,0.0,128.0,0.0,0,2,1,0.5,0.0,0.5,Platinum,4,SG,PulseHome,45,648,0,0,0,0,0
M03073,2026-04-01,0,72,174,,2,1,2,2,2,174.0,151.99,103.38,151.99,76.0,103.38,1.0,2.104,304.0,0.0,304.0,0.0,0,2,1,0.5,0.0,0.5,Bronze,1,IN,PulseHome,41,,1,0,0,0,0
M03108,2026-04-01,0,32,1272,209,5,1,1,2,2,318.0,463.29,47.64,84.0,92.66,274.22,2.0,48.64,811.0,264.0,547.0,0.3255,1,2,1,0.6,0.4,0.0,Bronze,1,AE,PulseEats,20,1455,0,0,0,0,0
M03149,2026-04-01,0,149,149,,1,0,1,1,1,,46.99,,46.99,46.99,46.99,0.5,0.021,82.0,0.0,82.0,0.0,0,1,1,0.0,1.0,0.0,Bronze,1,SG,PulseEats,47,159,0,0,0,0,0
M03186,2026-04-01,0,36,36,,1,1,1,1,1,,91.75,91.75,91.75,91.75,91.75,2.0,92.75,161.0,0.0,161.0,0.0,0,1,1,0.0,1.0,0.0,Platinum,4,IN,PulseEats,46,36,0,0,0,0,0
M03222,2026-04-01,0,29,29,,1,1,1,1,1,,154.22,154.22,154.22,154.22,154.22,2.0,155.22,355.0,0.0,355.0,0.0,0,1,1,0.0,1.0,0.0,Silver,2,AE,PulseMart,60,316,0,0,0,0,0
M03234,2026-04-01,0,34,189,,4,1,3,4,3,63.0,317.65,50.21,317.65,79.41,109.06,0.667,0.321,556.0,0.0,556.0,0.0,0,3,1,0.25,0.5,0.25,Silver,2,GB,PulseEats,21,192,0,0,0,0,0
M03241,2026-04-01,0,126,406,386,5,0,1,2,2,101.5,133.26,,40.76,26.65,45.86,0.5,0.041,234.0,50.0,184.0,0.2137,1,3,1,0.4,0.4,0.2,Silver,2,US,PulseEats,23,570,0,0,0,0,0
M03246,2026-04-01,0,18,75,,3,3,3,3,2,37.5,118.0,118.0,118.0,39.33,57.6,4.0,119.0,235.0,0.0,235.0,0.0,0,2,1,0.333,0.0,0.667,Platinum,4,IN,PulseHome,59,76,0,0,0,1,0
M03300,2026-04-01,0,10,233,233,5,2,2,5,3,58.3,609.85,254.85,609.85,121.97,202.73,3.0,255.85,1219.0,20.0,1199.0,0.0164,1,3,1,0.2,0.4,0.4,Platinum,4,AE,PulseHome,46,239,0,0,0,0,0
M03320,2026-04-01,0,88,105,,2,1,2,2,2,105.0,99.06,57.3,99.06,49.53,57.3,1.0,1.363,228.0,0.0,228.0,0.0,0,1,1,0.0,0.0,1.0,Gold,3,US,PulseMart,54,134,0,0,0,0,0
M03368,2026-04-01,0,231,1002,,5,0,0,1,1,250.5,296.45,,50.14,59.29,89.26,1.0,1.0,518.0,0.0,518.0,0.0,0,3,1,0.4,0.2,0.4,Gold,3,GB,PulseEats,60,1073,0,0,0,0,0
M03454,2026-04-01,0,17,855,,4,1,2,3,3,285.0,360.63,173.75,305.66,90.16,173.75,1.0,7.038,722.0,0.0,722.0,0.0,0,2,1,0.5,0.5,0.0,Gold,3,IN,PulseHome,44,919,0,0,0,0,0
M03482,2026-04-01,0,29,66,66,3,3,3,3,3,33.0,161.25,161.25,161.25,53.75,77.33,4.0,162.25,322.0,50.0,272.0,0.1553,1,2,1,0.333,0.667,0.0,Gold,3,IN,PulseHome,59,75,0,0,0,0,0
M03575,2026-04-01,0,8,90,,2,1,2,2,2,90.0,83.35,54.3,83.35,41.68,54.3,1.0,1.84,162.0,0.0,162.0,0.0,0,2,2,0.5,0.5,0.0,Bronze,1,US,PulseEats,30,114,0,0,0,0,0
M03645,2026-04-01,0,83,594,108,6,1,4,4,3,118.8,525.84,118.07,342.06,87.64,146.56,0.5,0.529,919.0,200.0,719.0,0.2176,1,3,1,0.333,0.167,0.5,Silver,2,IN,PulseEats,41,1132,0,0,0,0,0
M03673,2026-04-01,0,125,800,718,5,0,1,2,2,200.0,340.96,,133.45,68.19,76.46,0.5,0.013,681.0,273.0,408.0,0.4009,1,3,1,0.4,0.2,0.4,Silver,2,IN,PulseHome,25,829,0,0,0,0,0
M03735,2026-04-01,0,43,202,,5,2,3,5,4,50.5,167.9,81.88,167.9,33.58,51.5,1.5,1.579,294.0,0.0,294.0,0.0,0,2,1,0.0,0.2,0.8,Gold,3,AE,PulseEats,41,230,0,0,0,0,0
M03753,2026-04-01,0,58,1306,,4,1,1,1,1,435.3,399.11,79.34,79.34,99.78,112.23,2.0,80.34,917.0,0.0,917.0,0.0,0,3,1,0.25,0.5,0.25,Bronze,1,US,PulseMart,54,1310,0,0,0,0,0
M03811,2026-04-01,0,12,517,,4,1,1,2,2,172.3,363.01,53.29,206.54,90.75,153.25,2.0,54.29,750.0,0.0,750.0,0.0,0,3,2,0.5,0.25,0.25,Bronze,1,IN,PulseHome,22,551,0,0,0,0,0
M03816,2026-04-01,0,20,80,,2,2,2,2,2,80.0,132.03,132.03,132.03,66.02,104.11,3.0,133.03,295.0,0.0,295.0,0.0,0,2,2,0.5,0.0,0.5,Platinum,4,GB,PulseMart,57,187,0,0,0,0,0
M03947,2026-04-01,0,24,24,24,1,1,1,1,1,,45.89,45.89,45.89,45.89,45.89,2.0,46.89,92.0,50.0,42.0,0.5435,1,1,1,1.0,0.0,0.0,Silver,2,IN,PulseHome,61,43,0,0,0,0,0
M03975,2026-04-01,0,151,151,,1,0,1,1,1,,27.39,,27.39,27.39,27.39,0.5,0.035,48.0,0.0,48.0,0.0,0,1,1,0.0,0.0,1.0,Bronze,1,IN,PulseEats,37,159,0,0,0,0,0
M04056,2026-04-01,0,245,579,,5,0,0,2,2,144.8,395.07,,244.48,79.01,149.17,1.0,1.0,826.0,0.0,826.0,0.0,0,3,2,0.4,0.2,0.4,Silver,2,US,PulseMart,21,1046,0,0,0,0,0
M04089,2026-04-01,0,94,1348,474,6,0,1,2,2,269.6,256.51,,73.5,42.75,78.56,0.5,0.023,590.0,142.0,448.0,0.2407,1,3,1,0.333,0.333,0.333,Silver,2,IN,PulseMart,55,1791,0,0,0,0,0
M04101,2026-04-01,0,217,1490,,3,0,0,1,1,745.0,129.19,,60.68,43.06,60.68,1.0,1.0,226.0,0.0,226.0,0.0,0,1,1,0.0,1.0,0.0,Silver,2,IN,PulseEats,43,1625,0,0,0,0,0
M04131,2026-04-01,0,347,1216,518,4,0,0,1,1,405.3,314.07,,119.67,78.52,134.47,1.0,1.0,548.0,106.0,442.0,0.1934,1,2,1,0.0,0.75,0.25,Gold,3,US,PulseEats,48,1387,0,0,0,0,0
M04174,2026-04-01,0,58,595,,2,1,1,1,1,595.0,117.09,26.09,26.09,58.55,91.0,2.0,27.09,255.0,0.0,255.0,0.0,0,1,2,1.0,0.0,0.0,Bronze,1,AE,PulseEats,57,1266,0,0,0,0,0
M04241,2026-04-01,0,45,254,,3,1,2,3,3,127.0,200.81,83.12,200.81,66.94,83.12,1.0,1.194,462.0,0.0,462.0,0.0,0,2,1,0.333,0.667,0.0,Silver,2,US,PulseMart,52,638,0,0,0,0,0
M04305,2026-04-01,0,33,33,,1,1,1,1,1,,86.33,86.33,86.33,86.33,86.33,2.0,87.33,173.0,0.0,173.0,0.0,0,1,1,0.0,1.0,0.0,Gold,3,IN,PulseMart,24,410,0,0,0,0,0
