reason,transaction_sk,member_id,transaction_ts,amount,points_earned
orphan_transaction,979fd1a447198588cfa4febda1b80cb8,M9000000,2026-03-30 17:54:24,171.46,394.0
orphan_transaction,c3585cb9e3068ee9e87bb7d8a83935bd,M9000001,2026-02-07 09:55:07,37.86,66.0
orphan_transaction,94dd42e0dde67fbc3ec51a3dce33d130,M9000002,2025-12-12 04:52:40,81.57,143.0
orphan_transaction,3cd2dbea35ddecaeab23b1aedb564302,M9000003,2026-05-24 08:40:26,52.21,91.0
orphan_transaction,574758b57ed43054d3563e8a0fa408db,M9000004,2025-12-10 00:00:00,26.88,47.0
orphan_transaction,7cd89ffe80c9606b0220ce63adf319b8,M9000005,2025-05-16 17:24:49,33.01,66.0
orphan_transaction,d35938380eec763b35e25901700d43cc,M9000006,2025-03-26 02:50:03,21.44,49.0
orphan_transaction,614ac46a19934a7922d0f6400b9e3cd4,M9000007,2025-11-17 06:13:21,89.07,178.0
orphan_transaction,cfc3ce3449538e84af0f9c421c7f2d5b,M9000008,2025-04-26 14:38:55,45.76,80.0
orphan_transaction,85d20e2ffef7f677506d2371fa5efe45,M9000009,2026-05-31 05:54:12,54.61,96.0
orphan_transaction,1d273bb7e2706a5ae14a44c6dc423c67,M9000010,2026-01-10 23:15:59,33.22,58.0
orphan_transaction,6a9b2343896b167bb2f3a5cc1a15d688,M9000011,2025-12-14 12:47:19,28.19,56.0
orphan_transaction,8d5ae38e685afefad1e2dc61a1c25b84,M9000012,2025-06-02 09:30:05,49.82,87.0
orphan_transaction,5dd7218bb36c0952d2b7b42a5f336441,M9000013,2025-05-05 03:39:35,43.73,77.0
orphan_transaction,9e08eb1ece983a14bf9b7d6e9aee01b5,M9000014,2026-02-11 15:13:14,57.54,101.0
orphan_transaction,76ee2b566654495516d501a5040582ac,M9000015,2025-10-14 15:07:35,214.25,428.0
orphan_transaction,4169baea112781674c4e9b4a837c81ba,M9000016,2025-08-17 10:09:41,140.52,323.0
orphan_transaction,8f3700c8d34e6f24873ae6680a2767f4,M9000017,2025-01-20 02:14:16,5.37,9.0
orphan_transaction,7a6b7541622c442d8686dae865fdaf3e,M9000018,2025-09-23 16:25:58,84.8,170.0
orphan_transaction,19e18bb67690ca4450dd442bfc9d0047,M9000019,2025-08-21 00:33:43,101.45,178.0
orphan_transaction,982d72e1e1f8f1005c5d2d1298f95f1a,M9000020,2025-04-14 06:57:14,28.5,66.0
orphan_transaction,4627011451bc264b84e2dc3c3980d07d,M9000021,2026-05-24 00:07:11,11.86,27.0
orphan_transaction,a6916adf45e1f9fc5a6c5947438b4019,M9000022,2026-04-03 13:09:37,64.41,148.0
orphan_transaction,ea22b88bc4a86f6dfa39b12a6b21d0d4,M9000023,2026-01-02 00:37:28,21.79,38.0
orphan_transaction,d6e4e4cbb167349f232d2d8c9d3e1976,M9000024,2025-07-18 16:22:54,27.78,56.0
orphan_transaction,5d15c9232e50af011d0f089098754969,M9000025,2025-03-15 14:02:46,47.86,110.0
orphan_transaction,070e520d212d2a33c4c23a591f3b4b17,M9000026,2025-09-15 06:45:52,73.3,147.0
orphan_transaction,fa3aa0db10e6e86a00cb319688c29f8b,M9000027,2025-03-03 18:33:41,75.71,174.0
orphan_transaction,5d0de27dfadc1d8c5319ddc4cfa7608c,M9000028,2025-09-11 18:56:58,55.35,111.0
orphan_transaction,c581ff90d1c74de87fb59de0988b508e,M9000029,2026-06-24 15:36:06,61.67,123.0
orphan_transaction,d2f40bfcfd6bddc1f8172e10cd008983,M9000030,2025-04-07 23:01:23,50.42,88.0
orphan_transaction,bbe316e0e887b908a64291b6e59e31f0,M9000031,2025-02-02 08:26:44,34.53,69.0
orphan_transaction,88454501c42ae67b605dc823d43dc185,M9000032,2025-02-13 04:44:44,35.64,82.0
orphan_transaction,08a4716788ca0789d82ff0baacd64deb,M9000033,2026-01-12 20:55:41,53.61,107.0
orphan_transaction,c0ba306cfbc50c5acc1bf1b1a41a1063,M9000034,2026-03-30 08:32:59,47.98,84.0
orphan_transaction,f5187d641e47f0096f26c4a52cdf6d86,M9000035,2026-03-02 15:43:04,24.47,56.0
orphan_transaction,f7859d3ace0d41a21a655a47828a0670,M9000036,2025-06-15 14:30:07,192.07,442.0
orphan_transaction,75c826c564f17971f8048a5588c6ba65,M9000037,2026-02-15 18:00:01,54.5,109.0
orphan_transaction,caaa7b5fc80b0e67412524e66429bdb0,M9000038,2025-03-18 04:50:24,82.47,190.0
orphan_transaction,ab01778a8b84a5dcd5bcd9c6356a8982,M9000039,2025-08-22 19:24:13,74.99,150.0
orphan_transaction,d29fd0268b627cd8fd8d3150d45b6a7e,M9000040,2026-02-27 13:56:17,55.13,127.0
orphan_transaction,e2c5bece9b7786c4f5fc3d782a9bb49b,M9000041,2025-11-27 07:31:02,68.76,120.0
orphan_transaction,ea3fcc089a5460fe380534e1475f1cc0,M9000042,2025-03-06 17:40:34,20.89,48.0
orphan_transaction,027a7e70ed810b60729d69488cec99d9,M9000043,2026-01-19 05:56:19,103.86,208.0
orphan_transaction,6596076e6ebd07951e0afb8b09919e2e,M9000044,2026-04-15 01:58:42,93.7,164.0
orphan_transaction,460ebf4f691d927bbc1906c06165fa6d,M9000045,2026-05-22 09:10:42,148.02,259.0
orphan_transaction,f63d170a20d94783e4e52defeae3cfa9,M9000046,2026-03-28 11:20:31,46.78,94.0
orphan_transaction,d74766da788b7ba3eee082447cff76ec,M9000047,2025-03-09 04:43:35,35.52,82.0
orphan_transaction,6231a76267f1811d7a2ee4cc575bc4cd,M9000048,2026-02-05 14:59:57,105.36,211.0
orphan_transaction,5b353f53ed434e8c2c0469e6e2379fdc,M9000049,2026-05-23 14:56:06,58.06,134.0
orphan_transaction,67f802aa8b974f19dcf98cebd043022c,M9000050,2025-07-24 23:38:59,42.95,75.0
orphan_transaction,70d168ba638398a73cefe9c3009d53c0,M9000051,2026-03-13 17:38:03,35.84,72.0
orphan_transaction,98cae9b6fbc6049382b3ac85174a8377,M9000052,2026-01-01 05:03:04,30.78,54.0
orphan_transaction,dc25e1a25e8a58717b62f604651c07a3,M9000053,2025-04-17 01:15:26,27.73,49.0
orphan_transaction,9876482a40ecefdf5f523b8768a23625,M9000054,2025-02-08 18:33:20,77.7,136.0
orphan_transaction,fcda927bb392751815f6cfe349190a63,M9000055,2026-03-20 21:31:28,56.32,99.0
orphan_transaction,f8cf0abffa6d58e846a072bd2b6679c6,M9000056,2025-09-07 15:55:24,28.11,56.0
orphan_transaction,f66766c56c52c0cb570076a824b554aa,M9000057,2025-01-06 23:00:11,27.32,48.0
orphan_transaction,935fae1a770cc85df02e3b87a23cfc19,M9000058,2025-06-04 07:29:11,79.1,138.0
orphan_transaction,e43e837e2c27e9641c0e1434855a48fc,M9000059,2025-03-09 14:39:46,23.43,41.0
orphan_transaction,e96fac2e4cbf1794ec212cf7089ae061,M9000060,2025-02-10 05:16:12,92.0,212.0
orphan_transaction,625821e220fa0ae9cecb8d85be0ccb34,M9000061,2026-05-12 07:57:08,51.59,103.0
orphan_transaction,0c3e3aca68967b4a2b89536587c1b9b1,M9000062,2025-04-28 13:20:12,77.24,135.0
orphan_transaction,b7e27dc2246bc89112c8354b09b1da6c,M9000063,2025-04-05 11:32:28,39.89,92.0
orphan_transaction,5e9f0b7dca5da349a8c7218ed4f6a6f7,M9000064,2025-06-27 14:31:48,26.13,60.0
orphan_transaction,cd3f90631c1d88cff4cc432e3c889eee,M9000065,2025-05-21 04:09:26,25.1,50.0
orphan_transaction,569d395fc46b7f92ea11f76613d0b2d8,M9000066,2026-01-03 18:50:50,80.66,186.0
orphan_transaction,a9872f5857b4fe60ff0678bbdc096030,M9000067,2025-01-13 06:19:48,45.47,105.0
orphan_transaction,f6c3ac35c7ed7528ba6feabd834c2c9c,M9000068,2026-02-27 02:23:21,41.96,97.0
orphan_transaction,e92d9b44ad9c7fdc91e7db890156f677,M9000069,2025-05-18 15:34:22,93.32,163.0
orphan_transaction,6b619ab51039e47eb50d778ab143fadf,M9000070,2025-01-08 15:51:26,34.89,70.0
orphan_transaction,c10bd2f4158020237914c3e7c284a79e,M9000071,2025-06-28 07:15:48,53.45,94.0
orphan_transaction,b10f1f1815aeac0f16f4c20926fbe08f,M9000072,2026-03-25 17:20:46,27.06,47.0
orphan_transaction,ee3a1d23cb3f03a6c172f2688f7b5724,M9000073,2025-04-14 11:23:41,66.98,154.0
orphan_transaction,bffdbe54fa4217168c450bfe334ab4f3,M9000074,2026-03-04 14:49:40,137.17,240.0
orphan_transaction,391ddefbf3e9d2cdff2820631b483826,M9000075,2025-12-01 06:27:54,144.21,332.0
orphan_transaction,f8dcf0759e054eb4824b574eae155400,M9000076,2026-03-21 15:16:26,24.34,56.0
orphan_transaction,082e0922c6861013e490c12f8c6bac01,M9000077,2025-11-12 23:19:50,48.76,112.0
orphan_transaction,d6cf2ced8e5fac2f9ff493e23432d2c6,M9000078,2026-05-26 10:13:13,32.87,66.0
orphan_transaction,e78a3a25de2646df97b83931ef9cde3b,M9000079,2025-11-19 01:23:24,40.26,81.0
orphan_transaction,5c0fd1b09b5653c3f5f95020722d97af,M9000080,2026-02-01 12:22:44,30.99,54.0
orphan_transaction,1f988b08c449a0a286ceae41eb171083,M9000081,2026-05-13 08:56:11,112.61,197.0
orphan_transaction,2ebcc674de63cadbd05757a998543eed,M9000082,2026-03-30 12:31:35,45.19,104.0
orphan_transaction,506a757410710d5d8ebebe3c2eb0b062,M9000083,2025-02-09 19:14:30,21.52,38.0
orphan_transaction,ed834d599c3f0cffedce38108bedc843,M9000084,2025-12-09 09:56:41,104.06,208.0
orphan_transaction,211884374335737436749fa824552cd7,M9000085,2025-02-16 03:31:53,138.59,319.0
orphan_transaction,d08fcfc6866d8dbbf75b122f34ca7f87,M9000086,2025-09-29 07:58:48,57.41,115.0
orphan_transaction,1f1338603dc10cee55b187dfc2c4f0de,M9000087,2025-11-25 05:04:46,106.57,186.0
orphan_transaction,4fbe5c0dc2ba1b1219c4988fe0974e40,M9000088,2026-01-02 15:19:37,60.04,105.0
orphan_transaction,0394b4a3cd8a6d5cfaeb9ad6160db413,M9000089,2025-01-06 21:20:44,35.63,82.0
orphan_transaction,6d1c891c9d251920bb70f5735b1590ba,M9000090,2026-01-07 23:56:03,68.99,121.0
orphan_transaction,0fac5a452e667053857e92cfedbada1a,M9000091,2026-05-31 17:25:26,81.19,142.0
orphan_transaction,c5a6791f6ed37bbbfc2bc92e2a397faf,M9000092,2025-12-18 07:29:53,29.31,59.0
orphan_transaction,fdd14f9f98b949c01c6beb9beac5969d,M9000093,2026-06-14 13:55:30,75.82,152.0
orphan_transaction,b46405f06846bee19fecf28390faad70,M9000094,2025-02-21 17:32:10,54.3,95.0
orphan_transaction,94351ca7b0ed72efcc5efe1eece7f0fd,M9000095,2026-01-04 07:55:50,23.67,54.0
orphan_transaction,617481dba4fcd2c0571a9b343e47b205,M9000096,2025-08-08 06:20:57,59.18,118.0
orphan_transaction,1f37fbe93e4f6590292e336c3c1229c4,M9000097,2025-06-05 19:38:05,78.13,137.0
orphan_transaction,92303bcf2bb65d32ae8b73fb08f70909,M9000098,2026-01-25 10:23:10,57.67,115.0
orphan_transaction,f3edcda3e5a2c48d7de8ba51ef348725,M9000099,2026-06-10 06:22:14,47.27,109.0
orphan_transaction,2579e9f9ab505a0fddb7af267b242b9a,M9000100,2025-06-28 11:54:42,53.92,124.0
orphan_transaction,89d733e447932f7e77fd95cfa884bb34,M9000101,2025-02-06 17:33:24,41.84,96.0
orphan_transaction,836e34423f177d335df6900f8e125c2f,M9000102,2025-09-03 12:24:40,19.77,35.0
orphan_transaction,43c02172ab471a22ef82963a7474f471,M9000103,2026-06-07 07:48:25,53.53,94.0
orphan_transaction,c8a951cb777ccacd2c76b75ce02bb0e1,M9000104,2025-04-29 04:55:27,42.94,99.0
