transaction_id,member_id,transaction_date,amount,points_earned,points_redeemed,channel,brand,transaction_type
T000001,M00001,2024-03-13 00:43:55,53.05,122.0,0,in_store,PulseMart,purchase
T000002,M00001,2024-05-11 11:39:04,105.77,185.0,0,online,PulseEats,purchase
T000003,M00001,2024-10-29 06:20:24,64.86,149.0,0,app,PulseMart,purchase
T000004,M00001,2021-11-03 01:22:12,147.43,258.0,200,online,PulseEats,purchase
T000005,M00001,2022-01-25 11:50:48,19.54,34.0,0,app,PulseEats,purchase
T000006,M00001,2022-08-26 14:17:15,48.83,85.0,85,online,PulseEats,purchase
T000007,M00001,2025-10-25 20:11:11,75.49,132.0,0,online,PulseEats,purchase
T000008,M00001,2023-05-25 14:23:54,110.73,194.0,0,in_store,PulseEats,purchase
T000009,M00002,2026-04-20 15:14:14,54.0,94.0,0,in_store,PulseEats,purchase
T000010,M00002,2023-12-14 20:43:23,100.09,175.0,100,in_store,PulseEats,purchase
T000011,M00002,2023-10-13 09:19:47,33.58,59.0,59,app,PulseEats,purchase
T000012,M00002,2025-02-20 00:49:03,74.39,130.0,0,app,PulseEats,purchase
T000013,M00002,2024-05-12 05:03:07,76.95,135.0,0,in_store,PulseEats,purchase
T000014,M00003,2026-05-03 06:12:48,61.46,108.0,0,in_store,PulseEats,purchase
T000015,M00003,2025-05-30 03:43:52,23.58,41.0,0,online,PulseEats,purchase
T000016,M00003,2025-05-07 12:23:14,102.39,179.0,0,in_store,PulseEats,purchase
T000017,M00003,2025-05-30 10:05:24,74.04,130.0,0,app,PulseEats,purchase
T000018,M00003,2026-06-04 13:36:53,37.19,65.0,0,app,PulseEats,purchase
T000019,M00004,2023-06-07 08:59:42,85.76,150.0,0,app,PulseEats,purchase
T000020,M00004,2024-04-11 16:22:29,227.47,398.0,0,in_store,PulseEats,purchase
T000021,M00004,2022-08-28 10:13:37,37.27,65.0,0,in_store,PulseEats,purchase
T000022,M00004,2025-11-13 01:26:13,27.36,48.0,48,online,PulseEats,purchase
T000023,M00004,2025-10-11 14:08:01,30.08,53.0,0,in_store,PulseEats,purchase
T000024,M00005,2023-01-28 11:01:53,75.3,173.0,0,app,PulseMart,purchase
T000025,M00005,2025-12-11 05:37:36,88.08,203.0,150,online,PulseMart,purchase
T000026,M00005,2025-03-18 16:59:50,106.92,246.0,0,online,PulseMart,purchase
T000027,M00005,2025-08-05 12:40:36,35.01,81.0,0,in_store,PulseMart,purchase
T000028,M00006,2025-08-20 23:27:42,39.66,69.0,0,in_store,PulseEats,purchase
T000029,M00006,2026-02-27 04:32:41,18.17,32.0,0,in_store,PulseEats,purchase
T000030,M00007,2026-04-11 16:10:39,64.89,130.0,0,app,PulseHome,purchase
T000031,M00007,2026-01-16 04:04:48,12.17,24.0,24,app,PulseHome,purchase
T000032,M00007,2025-02-26 04:25:01,24.18,48.0,48,online,PulseHome,purchase
T000033,M00007,2025-06-23 06:17:31,38.93,78.0,0,in_store,PulseHome,purchase
T000034,M00007,2025-08-04 04:33:25,169.6,339.0,0,in_store,PulseHome,purchase
T000035,M00007,2025-02-11 16:30:24,66.65,133.0,0,online,PulseHome,purchase
T000036,M00008,2024-09-30 21:37:04,133.0,266.0,0,online,PulseHome,purchase
T000037,M00008,2025-11-12 07:07:37,90.58,159.0,100,in_store,PulseEats,purchase
T000038,M00008,2024-10-11 01:13:37,26.97,54.0,0,in_store,PulseHome,purchase
T000039,M00009,2023-06-13 00:24:32,75.74,174.0,0,online,PulseMart,purchase
T000040,M00009,2023-09-19 00:15:59,250.35,576.0,0,online,PulseMart,purchase
T000041,M00009,2023-03-13 13:14:37,72.55,167.0,0,in_store,PulseMart,purchase
T000042,M00009,2025-06-02 01:48:09,20.19,46.0,0,in_store,PulseMart,purchase
T000043,M00009,2026-05-27 22:06:29,27.88,64.0,0,app,PulseMart,purchase
T000044,M00010,2026-03-02 18:52:36,51.84,104.0,0,in_store,PulseHome,purchase
T000045,M00010,2026-02-20 23:52:47,16.95,34.0,0,online,PulseHome,purchase
T000046,M00010,2026-01-04 22:27:20,37.85,76.0,0,online,PulseHome,purchase
T000047,M00010,2026-02-19 08:00:01,96.58,193.0,0,online,PulseHome,purchase
T000048,M00010,2025-04-12 20:05:00,70.52,141.0,0,in_store,PulseHome,purchase
T000049,M00010,2025-02-19 11:01:58,20.74,41.0,0,in_store,PulseHome,purchase
T000050,M00010,2025-12-18 17:52:46,25.94,52.0,0,in_store,PulseHome,purchase
T000051,M00011,2023-07-29 09:59:41,29.9,69.0,0,online,PulseMart,purchase
T000052,M00011,2024-12-13 09:09:02,19.82,46.0,0,app,PulseMart,purchase
T000053,M00011,2024-03-30 17:29:23,31.7,73.0,0,in_store,PulseMart,purchase
T000054,M00012,2026-05-14 20:33:42,-23.17,53.0,53,in_store,PulseMart,purchase
T000055,M00012,2025-08-01 09:57:38,104.84,241.0,0,online,PulseMart,purchase
T000056,M00012,2025-07-11 01:32:47,58.33,134.0,0,app,PulseMart,purchase
T000057,M00012,2025-02-15 13:32:35,73.38,169.0,50,online,PulseMart,purchase
T000058,M00012,2025-11-14 04:42:02,58.11,134.0,0,in_store,PulseMart,purchase
T000059,M00012,2025-08-15 18:28:27,33.93,78.0,50,online,PulseMart,purchase
T000060,M00012,2025-07-16 16:43:50,77.34,178.0,0,online,PulseMart,purchase
T000061,M00013,2025-02-26 21:28:08,52.13,120.0,0,in_store,PulseMart,purchase
T000062,M00013,2026-05-14 00:04:09,63.49,146.0,0,app,PulseMart,purchase
T000063,M00013,2025-06-24 00:50:06,34.9,80.0,0,app,PulseMart,purchase
T000064,M00013,2022-07-24 09:02:20,76.84,177.0,0,in_store,PulseMart,purchase
T000065,M00014,2025-03-13 08:48:22,32.42,65.0,0,app,PulseHome,purchase
T000066,M00014,2025-05-16 20:31:29,67.73,135.0,0,in_store,PulseHome,purchase
T000067,M00014,2023-02-01 15:10:31,31.37,63.0,0,in_store,PulseHome,purchase
T000068,M00014,2025-09-19 02:55:03,44.24,88.0,50,in_store,PulseHome,purchase
T000069,M00014,2022-10-20 16:58:06,63.89,128.0,0,app,PulseHome,purchase
T000070,M00014,2025-06-11 15:04:20,30.37,70.0,0,online,PulseMart,purchase
T000071,M00015,2026-02-21 09:25:27,60.48,139.0,0,app,PulseMart,purchase
T000072,M00015,2026-01-31 20:08:52,28.4,65.0,0,in_store,PulseMart,purchase
T000073,M00015,2026-04-29 01:38:39,82.25,189.0,0,online,PulseMart,purchase
T000074,M00015,2026-02-21 03:17:22,290.91,669.0,0,app,PulseMart,purchase
T000075,M00015,2026-03-24 09:16:44,42.66,98.0,0,online,PulseMart,purchase
T000076,M00015,2026-02-04 16:21:40,52.93,122.0,0,in_store,PulseMart,purchase
